como puedo trabajar en santander rio	102
pagar tarjeta visa querer reintegro	350
pagar tarjeta naranja sistema	132
no se debitó la primera cuota del plan de bienes personales y quiero saber por que	129
abonar tarjeta credito	342
se puede pagar la mastercard desde uno de los autoservicios del banco?	342
informar que vamos a viajar al exterior	304
pasar preguntar seguridad	1
olvide mi contraseña de hombamnkin	1
como doy de baja la tarjeta por telefono no es posible comunicarse	338
intentar poder obtener clave	1
mi abuela tiene que hacer la supervivencia en la sucursal de floresta.ahora ella está en pilar la puede realizar en un banco de ahi	88
pagar servicio pagina banco	132
me cobran algo por recibir dolares del exterior?	31
me ayudás a terminar un canje? no puedo hacerlo de manera electrónica.	328
quiero solicitar el prestamo santander rio	223
puedo retirar dinero de un plazo fijo?	182
queria invertir en la bolsa acciones de pampa energía	151
queria saber como recuperar mi contraseña del cajero automatico	288
necesito pedir una reimpresión.que tramite tengo que realizar?	316
donde pago la cuota del prestamo personal?	239
tengo un atraso en el pago de mi tarjeta	192
en que casas de ropa va a haber promo?	311
deseo ver el estado de distribución del plástico	293
tardar reponer tarjeta debito	293
algun costo abrir fondo comun invercion	96
cuándo se hace la liquidación de letras del tesoro	158
necesitar saber cuanto pagar tarjeta	342
cambiar moneda tarjeta debitar exterior	289
hablilitacion para compras al exterior	304
es posible anular el canje?	331
puedo abrirme una cuenta si vivo en el extranjero	39
que tengo en debito automatico	93
quisiera solicitar la tarjeta visa internacional	337
quiero poner mi ahorro en plazo fijo a dias	181
no me atienden por telefono y quiero dar de baja la tarjeta de ccredito	338
quiero abonar un servicio de dnrap y no me figura	132
consultar saldar	50
perdi mi tarjeta visa santander . a que número telefonico debo comunicarme?	294
prestamos prendarios para motos tienen	228
reintegro pago servicios	312
dependo de la tasacion para ver el capital a solicitar?	216
numero de telefono	147
como hago para sacar dinero del cajero automatico	298
el cajero automatico me indico un descubierto erroneo.	56
vos me podes tomar un reclamo?	135
me enviaron mis premios pero no estaba en casa y jamás volvieron a enviarlos	326
quiero solicitar la tarjeta de credito	337
no se acreditaban los bonos vencidos días atrás?	161
para pagar los impuestos con la visa	132
queria extender la fecha de cierre de la visa.	348
necesito adquirir tarjeta visa	337
quisiera saber si estan otorgando creditos personales	225
no puedo realizar un pago con tarjeta de credito	286
extender limite de descubierto	57
tasa fija hay para compra de vivienda?	258
cuanto interés tiene el plan v	308
como hago para quitar un debito automatico?	89
me llego mens q tengo q renovar mis claves y no se como hacerlo.	1
por que no puedo transferir usd por home banking?	80
si quiero sacar plata en el exterior con la tarjeta de ccredito como tengo que hacer?	298
debito automatico servicios	132
quiero retirar la tarjeta en la sucursal de barracas	318
cómo puedo hacer para sacar un préstamo?	223
como cambiar mi pasaporte a dni	103
hacen comercio exterior en santander rio?	36
plastico tarjeta sucursal	293
no aparece en online banking quien es mi ejecutivo	126
donde puedo buscartenencias	67
requisito abrir bancario	39
como recupero mi cuenta bloqueda?	51
